Czedrog Szeląg kjcvv3
Bartek Turowski yujrex
Krzesimir Bugaj lq8s0c
Rodomil Stachowicz jlpma7
Niegowoj Grześkowiak bere8x
Humbelina Kulig yhnreg
Dobiemir Biały zt7xt5
Gardomir Figura gqmhzx
Fryderyka Piechocki v7rmy8
Liwia Bień amvz9x
Magdalena Ławniczak 8uqrxf
Łucjan Burda qcnkin
Grzymisław Śledź b0dk0z
Diogenes Olszak 076fyd
Dobosława Czarnota cvwbf6
Emiliana Wołoszyn cfrvwb
Grześ Antoniak krk8e8
Janusz Magiera 19l3is
Benita Kawka 9vml8e
Łukasz Jeziorski bzyd3z
Lolita Roszak ohcm5x
Benedykta Plichta fs3zw5
Bernard Młynarski 2tyle2
Leopold Kornacki mz846l
Staszek Studziński n6qq83
Błażej Wyrzykowski 5so25i
Dawida Lewiński orwaw8
Leonard Czapliński 9hm226
Fausta Ćwikliński fupjoq
Bonawentura Grzesik 79dd8t
Maksym Goliński 5neqru
Irmina Kazimierczak 9f48tq
Gorazd Kokot 2g93gu
Benedykta Konarski m75x54
Bartosz Surma giivyy
Dacjusz Kupiec luonf9
Domicela Niedziela k2fckf
Julia Żuchowski el0owd
Dymitr Biliński mc8rii
Dalewuj Bogacz 9qc9vq
Anetka Piotrowicz wn6b0g
Gebhard Iwanowski hhznil
Bądzisława Napiórkowski m5jcdj
Lucyna Skorupa a34357
Stella Paszkiewicz 26j1tz
Ninomysł Lemański xt1tzs
Gonsalwy Gadomski gxfnm1
Drogodziej Błoński oxz49m
Iweta Rożek 2ohgzy
Hortensjusz Nowiński qm689y
Wladyslawa Chudzik 5owo60
Beatrycze Doliński d7xe80
Gardenia Wolny x50kgf
Otylia Karcz vwfve3
Felicysym Kochański odzf3f
Łazarz Wrzesiński fzyv1e
Tyberiusz Wojtkowiak nl4fbc
Cieszymysł Majkowski cnspe6
Bazyliusz Grabarczyk 22ovcc
Ładysław Kawecki u73lpq
Teodoryk Słomka 60u0hq
Ludgarda Korzeniewski 5v7s89
Justyn Szymanek apy2yp
Marek Szot kwci71
Iza Szeliga ke6a0l
Ziemowit Kruczek bkq2wa
Iryda Woliński cbtywk
Emilka Piwowarski n3nnja
Niestoj Nadolski tq3bvw
Oskar Grudzień updkea
Witolda Perkowski 9w9l6v
Konradyna Wrzosek 3q20qj
Florentyna Gola w2l13p
Falisława Suchecki oc2ar9
Marika Sobota 0gbxtn
Olga Gliński vtllrr
Gabriel Świątkowski tcohny
Bogumiła Porębski vfv8z7
Tymoteusz Kolasiński lzyzsw
Ludomił Reszka ze7enx
Hugona Wyszyński lldnjp
Grzymisław Herman fzsd04
Kordian Wojtasik 1h7r4m
